formula,available_calculations
Ac2Cl6,288
Ag4,317
Ag4Cl4,288
AgKO3,144
Al4,323
Al4P4,288
AlGaO3,144
Ar4,317
As4Ga4,288
As6,319
Au4,321
Au4S2,288
B12,323
B2N2,288
BCoV2,144
BOs,288
Ba2,321
Ba4O4,288
BaK2Li,144
Be2,317
Be4S4,288
Bi4F12,288
Bi6,321
Br4Cu4,288
Br4K4,288
Br8,321
C4,325
C4Hf4,288
C4Nb4,288
C4Si4,288
C4Ta4,288
C4Th4,288
C4Ti4,288
C4V4,288
C4Zr4,288
CMo,288
CO3Ru,144
CW,288
Ca2CdP,144
Ca4,327
Ca4O4,288
Cd2,319
Cd2Se2,288
Cd4O4,576
Ce4N4,288
Cl4Cu4,288
Cl4K4,288
Cl4Na4,288
Cl4Rb4,288
Cl6La2,288
Cl8,329
ClCs,288
ClLi2Sn,144
ClTl,288
Co2,325
Co4O4,288
Cr2,333
Cr4N4,288
Cs2,317
Cu4,319
CuFe2Ni,144
Dy4N4,288
Er4N4,288
Eu4S4,288
F4Li4,288
F4Na4,288
F8,321
F8Hg4,288
F8Ra4,288
Fe2,329
Fe4O4,288
Ga4P4,288
Ga8,319
Gd4N4,288
Ge2,321
Ge3Te3,288
Ge4Mg4N8,144
H4,307
H4Li4,288
He2,307
Hf2,319
Hg2,323
Ho4N4,288
I4Li4,288
I8,319
In2,319
In4P4,576
In4Sb4,288
Ir2O4,288
Ir4,319
IrNa2Zn,144
K2,323
Kr4,317
Li3,315
Lu2,319
Lu4N4,288
Mg2,317
Mg4O4,288
Mn4,325
Mn4S4,288
Mo2,321
N4Nd4,288
N4Pr4,288
N4Sm4,288
N4Tb4,288
N4Ti4,288
N4Tm4,288
N4V4,288
N4Y4,288
N4Yb4,288
N8,329
Na3,323
Nb2,319
Ne4,317
Ni4,325
Ni4O4,288
O2Pd2,288
O2Pt2,288
O3Pm2,288
O3Re,288
O4,329
O4Rh2,288
O4Ru2,288
O4Sr4,288
O4Zn4,288
O8Po4,288
O8Tc4,288
Os2,321
P8,331
Pb4,321
Pb4S4,288
Pd4,317
Po,321
Pt4,307
Rb2,315
Re2,321
Rh4,315
Rn4,307
Ru2,321
S,329
S4Sc4,288
S4Sn4,288
S4Zn4,288
Sb6,321
Sc2,325
Se3,321
Si2,333
Sn2,321
Sr4,317
Ta2,317
Tc2,327
Te3,323
Te4Zn4,288
Ti2,329
Tl2,317
V2,331
W2,321
Xe4,307
Y2,319
Zn2,323
Zr2,321
